id_registro,valor_registro,data_registro,fk_modelo_componente
391,511.42,"2023-10-10 13:07:45",7
392,395.18,"2023-10-10 13:07:45",7
393,116.24,"2023-10-10 13:07:45",7
394,22.7,"2023-10-10 13:07:45",7
395,8.32022528,"2023-10-10 13:07:45",4
396,3.0094868480000003,"2023-10-10 13:07:45",4
397,5.310738432,"2023-10-10 13:07:45",4
398,3.0094868480000003,"2023-10-10 13:07:45",4
399,63.8,"2023-10-10 13:07:45",4
400,4,"2023-10-10 13:07:47",1
401,8,"2023-10-10 13:07:47",1
402,94372.0625,"2023-10-10 13:07:47",1
403,67267.89062499953,"2023-10-10 13:07:47",1
404,3997782.546875,"2023-10-10 13:07:47",1
405,8,"2023-10-10 13:07:47",1
406,0,"2023-10-10 13:07:47",1
407,2419,"2023-10-10 13:07:47",1
408,0,"2023-10-10 13:07:47",1
409,2419,"2023-10-10 13:07:47",1
410,511.42,"2023-10-10 13:07:47",7
411,395.18,"2023-10-10 13:07:47",7
412,116.24,"2023-10-10 13:07:47",7
413,22.7,"2023-10-10 13:07:47",7
414,8.32022528,"2023-10-10 13:07:48",4
415,2.9937786880000004,"2023-10-10 13:07:48",4
416,5.326446592,"2023-10-10 13:07:48",4
417,2.9937786880000004,"2023-10-10 13:07:48",4
418,64,"2023-10-10 13:07:48",4
419,4,"2023-10-10 13:07:50",1
420,8,"2023-10-10 13:07:50",1
421,94372.421875,"2023-10-10 13:07:50",1
422,67268.46874999953,"2023-10-10 13:07:50",1
423,3997800.484375,"2023-10-10 13:07:50",1
424,1,"2023-10-10 13:07:50",1
425,0,"2023-10-10 13:07:50",1
426,2419,"2023-10-10 13:07:50",1
427,0,"2023-10-10 13:07:50",1
428,2419,"2023-10-10 13:07:50",1
429,511.42,"2023-10-10 13:07:50",7
430,395.18,"2023-10-10 13:07:50",7
431,116.24,"2023-10-10 13:07:50",7
432,22.7,"2023-10-10 13:07:50",7
433,8.32022528,"2023-10-10 13:07:50",4
434,2.997395456,"2023-10-10 13:07:50",4
435,5.322829824,"2023-10-10 13:07:50",4
436,2.997395456,"2023-10-10 13:07:50",4
437,64,"2023-10-10 13:07:50",4
438,4,"2023-10-10 13:07:52",1
439,8,"2023-10-10 13:07:52",1
440,94372.9375,"2023-10-10 13:07:52",1
441,67268.82812499953,"2023-10-10 13:07:52",1
442,3997818.484375,"2023-10-10 13:07:52",1
